Date Sampled,Address,1st Draw,2-3 Minute,5 Minute
10/21/2016,103XX S HAMILTON AVE,3.5,4.5,4.1
7/31/2018,103XX S HAMILTON AVE,1.4,2.3,1.9
9/23/2019,103XX S HAMILTON AVE,2.8,4.7,6.1
7/8/2020,103XX S HAMILTON AVE,2.9,7.7,1.5
8/21/2016,103XX S HAMLIN AVE,3.1,2.1,1.5
10/5/2016,103XX S HAMLIN AVE,5.2,15,6.7
3/22/2019,103XX S HAMLIN AVE,4.1,11,2.5
9/12/2019,103XX S HAMLIN AVE,< 1,< 1,< 1
10/19/2019,103XX S HAMLIN AVE,5.3,8.9,5.8
,103XX S HAMLIN AVE,Customer declined further testing,,
12/28/2018,103XX S HOMAN AVE,1.7,< 1,< 1
3/4/2019,103XX S HOMAN AVE,4.5,13,2.5
3/11/2019,103XX S HOMAN AVE,1.9,4.1,< 1
4/5/2019,103XX S HOMAN AVE,2.8,1.8,< 1
7/29/2019,103XX S HOMAN AVE,8.6,11,11
9/27/2019,103XX S HOMAN AVE,3.9,5.6,2.7
10/4/2021,103XX S Homan Ave ,3.2,6.1,2.7
3/3/2020,103XX S HOXIE AVE,1.8,< 1,< 1
3/7/2019,103XX S HOYNE AVE,4,3.5,2.1
8/2/2019,103XX S HOYNE AVE,10,11,6
10/23/2019,103XX S HOYNE AVE,1.2,1.2,1.2
9/19/2016,103XX S LAWNDALE AVE,7.4,1.2,< 1
9/2/2019,103XX S LAWNDALE AVE,1.9,10,1.8
1/6/2019,103XX S LEAVITT ST,< 1,< 1,< 1
2/11/2019,103XX S LEAVITT ST,1.8,1.5,1.5
11/3/2020,103XX S LEAVITT ST,2.3,4.5,2.2
4/15/2019,103XX S LONGWOOD DR,< 1,< 1,< 1
4/28/2019,103XX S LONGWOOD DR,< 1,< 1,< 1
9/15/2019,103XX S LONGWOOD DR,< 1,< 1,< 1
8/22/2018,103XX S MILLARD AVE,< 1,< 1,< 1
7/4/2019,103XX S MILLARD AVE,< 1,< 1,< 1
11/1/2021,103XX S MORGAN ST ,23,2.6,2.3
3/4/2019,103XX S OAKLEY AVE,1.6,2.5,3.3
6/22/2019,103XX S OAKLEY AVE,2.2,1.3,1.1
7/23/2019,103XX S OAKLEY AVE,2.7,6,2.8
4/9/2019,103XX S OGLESBY AVE,1.9,2.5,< 1
2/4/2019,103XX S PEORIA ,240,2.1,1.6
8/29/2019,103XX S PEORIA ,See Follow-Up Sequential Sampling Table for Results,,
9/22/2016,103XX S PEORIA ST,10,3.7,3
7/18/2019,103XX S PEORIA ST,5.7,4.9,2.1
12/21/2021,103XX S PRAIRIE AVE ,<0.5,<0.5,<0.5
7/25/2016,103XX S PROSPECT AVE,7.3,17,7.9
10/8/2016,103XX S PROSPECT AVE,See Follow-Up Sequential Sampling Table for Results,,
7/20/2021,103XX S RACINE AVE ,1.9,1.3,1.1
7/20/2021,103XX S RACINE AVE ,1.9,1.3,1.1
4/29/2019,103XX S RHODES AVE,1.4,1.5,< 1
8/7/2019,103XX S RIDGEWAY AVE,1.2,3.7,< 1
1/11/2020,103XX S RIDGEWAY AVE,1.1,3,1.6
8/25/2019,103XX S SACRAMENTO AVE,< 1,1.1,< 1
