Date Sampled,Address,1st Draw,2-3 Minute,5 Minute,numAddr,geocode
8/4/2016,101XX S SEELEY AVE,4.6,3.8,2.5,10100 S SEELEY AVE,"[41.70996385, -87.67404365294652]"
10/11/2016,101XX S SEELEY AVE,3.6,11,10,10100 S SEELEY AVE,"[41.70996385, -87.67404365294652]"
10/11/2016,101XX S SEELEY AVE,3.6,11,10,10100 S SEELEY AVE,"[41.70996385, -87.67404365294652]"
12/10/2016,101XX S SEELEY AVE,See Follow-Up Sequential Sampling Table for Results,,,10100 S SEELEY AVE,"[41.70996385, -87.67404365294652]"
2/23/2019,101XX S SEELEY AVE,3.3,6.7,1.6,10100 S SEELEY AVE,"[41.70996385, -87.67404365294652]"
4/3/2019,101XX S SEELEY AVE,< 1,< 1,< 1,10100 S SEELEY AVE,"[41.70996385, -87.67404365294652]"
11/18/2019,101XX S SEELEY AVE,1.1,2.2,< 1,10100 S SEELEY AVE,"[41.70996385, -87.67404365294652]"
9/17/2019,101XX S SPRINGFIELD AVE,4.8,9.7,5.2,10100 S SPRINGFIELD AVE,"[41.709339, -87.718739]"
10/5/2021,101XX S Springfield Ave ,4.1,8.1,6.1,10100 S Springfield Ave ,"[41.709339, -87.718739]"
10/29/2018,101XX S St Lawrence Ave,16,7.4,2.6,10100 S St Lawrence Ave,"[41.7109026, -87.60933099657737]"
6/28/2021,101XX S St Lawrence Ave,See Follow-Up Sequential Sampling Table for Results,,,10100 S St Lawrence Ave,"[41.7109026, -87.60933099657737]"
1/11/2019,101XX S TALMAN AVE,5.7,6,2,10100 S TALMAN AVE,"[41.70982455, -87.68824479214729]"
11/22/2019,101XX S VERNON AVE,9.5,8.5,2.2,10100 S VERNON AVE,"[41.710845500000005, -87.61288975]"
2/22/2022,101XX S VERNON AVE ,12,8.2,1.4,10100 S VERNON AVE ,"[41.710845500000005, -87.61288975]"
2/3/2019,101XX S WALLACE ST,2.6,2.7,2.6,10100 S WALLACE ST,"[41.71049255, -87.63835419278219]"
3/21/2019,101XX S WASHTENAW AVE,1.6,2.9,4.4,10100 S WASHTENAW AVE,"[41.70981975, -87.68942068274487]"
10/12/2019,101XX S Washtenaw Ave,8.2,8,14,10100 S Washtenaw Ave,"[41.70981975, -87.68942068274487]"
11/27/2019,101XX S WASHTENAW AVE,5.1,12,2.2,10100 S WASHTENAW AVE,"[41.70981975, -87.68942068274487]"
10/26/2021,101XX S Washtenaw Ave,See Follow-Up Sequential Sampling Table for Results,,,10100 S Washtenaw Ave,"[41.70981975, -87.68942068274487]"
2/11/2019,101XX S WENTWORTH AVE,< 1,< 1,< 1,10100 S WENTWORTH AVE,"[41.7106037, -87.628669694145]"
5/5/2019,101XX S YALE AVE,1.2,1.9,< 1,10100 S YALE AVE,"[41.71060285, -87.6298732854251]"
8/28/2019,101XX S YALE AVE,4.3,13,6.4,10100 S YALE AVE,"[41.71060285, -87.6298732854251]"
11/22/2019,101XX S YALE AVE,8.3,< 1,< 1,10100 S YALE AVE,"[41.71060285, -87.6298732854251]"
8/11/2019,101XX S YATES AVE,6.5,20,17,10100 S YATES AVE,"[41.71155125, -87.5648787256463]"
11/22/2019,101XX S Yates Ave,36,9.9,1.8,10100 S Yates Ave,"[41.71155125, -87.5648787256463]"
11/25/2019,101XX S YATES AVE,4.2,11,3.5,10100 S YATES AVE,"[41.71155125, -87.5648787256463]"
