"Date Sampled","Address","1st Draw","2-3 Minute","5 Minute","numAddr","geometry"
"12/2/2018","101XX S PROSPECT AVE","7.2","6.1","5.6","10100 S PROSPECT AVE",c(-77.5194227935845, 40.1121494717198)
"4/16/2019","101XX S RHODES AVE","4.6","7.2","1.3","10100 S RHODES AVE",c(-77.5194227977056, 40.1121496144614)
"5/2/2019","101XX S RHODES AVE","2.7","5.5","1.1","10100 S RHODES AVE",c(-77.5194227977056, 40.1121496144614)
"9/3/2019","101XX S RHODES AVE","5.6","11","5","10100 S RHODES AVE",c(-77.5194227977056, 40.1121496144614)
"3/6/2019","101XX S SAINT LAWRENCE AVE","6.6","2.5","1.4","10100 S SAINT LAWRENCE AVE",c(-77.5194227978281, 40.1121496175971)
"10/30/2019","101XX S SANGAMON ST","4.5","8.5","3.1","10100 S SANGAMON ST",c(-77.5194227943474, 40.1121495146135)
"8/4/2016","101XX S SEELEY AVE","4.6","3.8","2.5","10100 S SEELEY AVE",c(-77.5194227918891, 40.1121494400117)
"10/11/2016","101XX S SEELEY AVE","3.6","11","10","10100 S SEELEY AVE",c(-77.5194227918891, 40.1121494400117)
"10/11/2016","101XX S SEELEY AVE","3.6","11","10","10100 S SEELEY AVE",c(-77.5194227918891, 40.1121494400117)
"12/10/2016","101XX S SEELEY AVE","See Follow-Up Sequential Sampling Table for Results",NA,NA,"10100 S SEELEY AVE",c(-77.5194227918891, 40.1121494400117)
"2/23/2019","101XX S SEELEY AVE","3.3","6.7","1.6","10100 S SEELEY AVE",c(-77.5194227918891, 40.1121494400117)
"4/3/2019","101XX S SEELEY AVE","< 1","< 1","< 1","10100 S SEELEY AVE",c(-77.5194227918891, 40.1121494400117)
"11/18/2019","101XX S SEELEY AVE","1.1","2.2","< 1","10100 S SEELEY AVE",c(-77.5194227918891, 40.1121494400117)
"9/17/2019","101XX S SPRINGFIELD AVE","4.8","9.7","5.2","10100 S SPRINGFIELD AVE",c(-77.5194227877032, 40.1121493173607)
"10/5/2021","101XX S Springfield Ave","4.1","8.1","6.1","10100 S Springfield Ave",c(-77.5194227877032, 40.1121493173607)
"10/29/2018","101XX S St Lawrence Ave","16","7.4","2.6","10100 S St Lawrence Ave",c(-77.5194227978281, 40.1121496175971)
"6/28/2021","101XX S St Lawrence Ave","See Follow-Up Sequential Sampling Table for Results",NA,NA,"10100 S St Lawrence Ave",c(-77.5194227978281, 40.1121496175971)
"1/11/2019","101XX S TALMAN AVE","5.7","6","2","10100 S TALMAN AVE",c(-77.5194227903475, 40.1121494010481)
